dataset,train_size_label,train_size,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,10000,10000,43,adult_fixed_test_seed43_train10000,LightGBM,accuracy,0.8712,0.7963,0.8128,0.2283,0.1002,0.3285,cpu,9769,48842,14,6,8,105,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,43,adult_fixed_test_seed43_train10000,XGBoost,accuracy,0.8708,0.7927,0.8108,0.3784,0.0505,0.4289,cpu,9769,48842,14,6,8,105,43,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,43,adult_fixed_test_seed43_train10000,TabPFN v2,accuracy,0.8641,0.785,0.8017,0.3505,12.4772,12.8277,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; trained within TabPFN support range.
adult,10000,10000,43,adult_fixed_test_seed43_train10000,TabICL,accuracy,0.8698,0.7917,0.8095,0.4541,4.7485,5.2026,cuda,9769,48842,14,6,8,14,43,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,10000,10000,44,adult_fixed_test_seed44_train10000,LightGBM,accuracy,0.8688,0.7947,0.8099,0.2243,0.0908,0.3151,cpu,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,44,adult_fixed_test_seed44_train10000,XGBoost,accuracy,0.8671,0.7851,0.8043,0.3632,0.052,0.4152,cpu,9769,48842,14,6,8,104,44,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,44,adult_fixed_test_seed44_train10000,TabPFN v2,accuracy,0.8561,0.7679,0.787,0.364,12.3166,12.6806,cuda,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; trained within TabPFN support range.
adult,10000,10000,44,adult_fixed_test_seed44_train10000,TabICL,accuracy,0.864,0.7856,0.8018,0.49,4.8545,5.3444,cuda,9769,48842,14,6,8,14,44,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,10000,10000,45,adult_fixed_test_seed45_train10000,LightGBM,accuracy,0.8699,0.7895,0.8086,0.286,0.1151,0.4011,cpu,9769,48842,14,6,8,104,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,45,adult_fixed_test_seed45_train10000,XGBoost,accuracy,0.8727,0.7869,0.8098,0.4173,0.0594,0.4767,cpu,9769,48842,14,6,8,104,45,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,45,adult_fixed_test_seed45_train10000,TabPFN v2,accuracy,0.8619,0.786,0.8003,0.3885,12.2326,12.6211,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; trained within TabPFN support range.
adult,10000,10000,45,adult_fixed_test_seed45_train10000,TabICL,accuracy,0.8693,0.8003,0.8127,0.4822,4.5184,5.0006,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
